"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Mouser Part Number","Description"
"C7,C8","2","2p","","","","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","810-FG18C0G2A020CNT0 ","Unpolarized capacitor"
"C9","1","100p","","","","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P10.00mm","~","791-YP501101K40AND5","Unpolarized capacitor"
"FAN1,PUMP1,VALVE1,VALVE2","4","2-pin connector","","","","arduino-library:TBL002A35002GR2OR","https://www.sameskydevices.com/product/resource/supplyframepdf/tbl002a-350.pdf","490-TBL002A3502GR2OR","1~24 Poles, Screwless, 45, 3.50 Pitch, 24~20 (AWG), Terminal Block Connector"
"TEMP_AREA1,TEMP_LAMP1","2","3-pin connector","","","","arduino-library:TBL002A35003GR2OR","https://www.sameskydevices.com/product/resource/supplyframepdf/tbl002a-350.pdf","490-TBL002A3503GR2OR","1~24 Poles, Screwless, 45, 3.50 Pitch, 24~20 (AWG), Terminal Block Connector"
"J1","1","8-pin connector","","","","arduino-library:TBL002A35008GR2OR","https://www.sameskydevices.com/product/resource/supplyframepdf/tbl002a-350.pdf","490-TBL002A3508GR2OR","1~24 Poles, Screwless, 45, 3.50 Pitch, 24~20 (AWG), Terminal Block Connector"
"C1,C2,C3,C4,C5,C6","6","10 uF","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","581-TAP106K025CRS ","10 uF Unpolarized capacitor"
"R14","1","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~","708-CF12JT1K00","Resistor"
"ESMR401VSN102MA50S_3","1","1000 uF","","","","arduino-library:CAPPRD1000W180D3550H5250","https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/SMRN-e.PDF","661-ESMR401N102MA50S","1000u capacitor"
"Y1","1","32.768k","","","","Crystal:Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal","https://hu.mouser.com/datasheet/3/184/1/AB26T.pdf","815-AB26T32768KHZ6B","Two pin crystal"
"R1,R3,R5,R7,R9,R11,R15,R16,R17,R18,R20,R22,R24","13","100k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","603-MFR-25FTE52-100K","100k Resistor"
"J3","1","01x01","","Excluded from BOM","","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm","~","","Generic screw terminal, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J2","1","01x03","","Excluded from BOM","","Connector_Wire:SolderWire-1.5sqmm_1x03_P6mm_D1.7mm_OD3mm","~","","Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"
"R2,R4,R6,R8,R10,R12,R13,R19,R21,R23,R25","11","1 Ohm @ 0.01%","","","","arduino-library:RESAD2900W85L1100D450","https://cs.seielect.com/catalog/SEI-RSF_RSMF.pdf","603-MF0207FRE52-1R,708-RSF1JT1R00","RES, MO, 1W, 1 ohm, 5%"
"L1,L2,L3,L4,L5,L6,L7,L8,L9","9","220 uH @5.8A","","","","arduino-library:Coil_6cmx1cm","~","530-HCTI-220-5.8 ","Inductor coil radius=1cm, length=5.5cm, turns=3*55=165, wire radius=1mm air or wood core"
"K1,K2,K3","3","25V 5A relay @5V","","","","arduino-library:G6DN-1A-L","https://omronfs.omron.com/en_US/ecb/products/pdf/en-g6dn.pdf","653-G6DN1ADC5","General Purpose Relays 1 Form A w/ 4.5VDC 5A, EN61010-2-201"
"D6,D7,D8,D9","4","5A,1kV","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://diotec.com/request/datasheet/by50050.pdf","637-BY500-1000","1000V 1A General Purpose Rectifier Diode, DO-41"
"A1","1","Arduino_Nano_v3.x","","Excluded from BOM","","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","","Arduino Nano v3.x"
"H1","1","BAT","","","","arduino-library:BATHLD005THM","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=BAT-HLD-005-THM&DocType=Data+Sheet&DocLang=English&DocFormat=pdf&PartCntxt=BAT-HLD-005-THM","712-BAT-HLD-005-THM","Coin Cell Battery Holders Holder for 2016, 2020, 2025 and 2032 Batteries, Through Hole, Bulk Packaging"
"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13,Q15,Q17,Q24,Q25,Q27,Q29,Q30,Q32","19","BS170","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/download/data-sheet/pdf/mmbf170-d.pdf,https://www.onsemi.com/pub/Collateral/BS170-D.PDF","512-BS170","0.5A Id, 60V Vds, N-Channel MOSFET, TO-92"
"Q3,Q12,Q14,Q16,Q18,Q19,Q26,Q28,Q31,Q33","10","IRF9540N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf9540n.pdf","942-IRF9540NPBF ","-23A Id, -100V Vds, 117mOhm Rds, P-Channel HEXFET Power MOSFET, TO-220"
"PS1","1","IRM-45-12","","","","arduino-library:IRM-45","http://www.meanwellusa.com/productPdf.aspx?i=687","709-IRM45-12","12V, 5A, 60W, Isolated, AC-DC, IRM60"
"LED29,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED85,LED86,LED87,LED88,LED89,LED90,LED91,LED92,LED93,LED94,LED95,LED96,LED97,LED98,LED99,LED100,LED101,LED102,LED103,LED104,LED105,LED106,LED107,LED108,LED109,LED110,LED111,LED112","56","L150-18705024000H0","","","","arduino-library:L15065705024000H0","https://www.mouser.es/ProductDetail/Lumileds/L150-65705024000H0?qs=A6eO%252BMLsxmRcX3%2FW9OSQcg%3D%3D","997-L15018705024000H ","High Power LEDs - White Cool White, 6500K, 70 CRI"
"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED57,LED58,LED59,LED60,LED61,LED62,LED63,LED64,LED65,LED66,LED67,LED68,LED69,LED70,LED71,LED72,LED73,LED74,LED75,LED76,LED77,LED78,LED79,LED80,LED81,LED82,LED83,LED84,LED113,LED114,LED115,LED116,LED117,LED118,LED119,LED120,LED121,LED122,LED123,LED124,LED125,LED126","70","L150-65705024000H0","","","","arduino-library:L15065705024000H0","https://www.mouser.es/ProductDetail/Lumileds/L150-65705024000H0?qs=A6eO%252BMLsxmRcX3%2FW9OSQcg%3D%3D","997-L150657050240H0","High Power LEDs - White Cool White, 6500K, 70 CRI"
"IC1,IC2,IC3,IC4,IC5,IC6","6","LM2903P","","","","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm2903.pdf","595-LM2903P","LM2903P, Dual Comparator Open Collector 1.3us 12 V, 15 V, 18 V, 24 V, 28 V, 3 V, 5 V, 9 V 8-Pin PDIP"
"U4","1","LM7805CT/NOPB","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","926-LM7805CT/NOPB","Positive 1A 35V Linear Regulator, Fixed Output 5V, TO-220"
"H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19","18","MountingHole_Pad","","Excluded from BOM","","Connector_Pin:Pin_D1.0mm_L10.0mm_LooseFit","~","","Mounting Hole with connection"
"IC7","1","RTC","","","","Package_DIP:DIP-8_W7.62mm","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA3/278324.pdf","579-MCP7940N-I/P","I2C Real-Time Clock/Calendar SRAM PDIP8 Microchip MCP7940N-I/P, Real Time Clock, 64B RAM Serial-I2C, 8-Pin PDIP"
"U1,U2,U3,U5,U6,U7,U8,U10,U11,U12","10","TLP240","","","","Package_DIP:DIP-4_W7.62mm","https://www.vishay.com/docs/83725/4n25.pdf","757-TLP240AD4F","DC Optocoupler Base Connected, Vce 30V, CTR 20%, Viso 2500V, DIP6"
"D1,D2,D3,D4,D5,D10,D11,D12,D15","9","zener","","","","arduino-library:DIOM7959X262N","https://hu.mouser.com/datasheet/3/225/1/SMCJ1.5KE6.8(C)A-SMCJ1.5KE550(C)A(DO-214AB).pdf","833-SMCJ1.5KE440A-TP","TVS@376V, PPC=2.5A, breakdown=418V, clamping = 602V"
